,city
0,AN-01
1,AN-02
2,AP-02
3,AP-03
4,AP-04
5,AP-05
6,AP-07
7,AP-16
8,AP-21
9,AP-26
10,AP-27
11,AP-30
12,AP-31
13,AP-35
14,AP-37
15,AP-09-Px
16,AP-xx-Z
17,AP-01
18,AP-09
19,AP-10
20,AP-11
21,AP-12
22,AP-13
23,AP-15
24,AP-20
25,AP-22
26,AP-23
27,AP-24
28,AP-25
29,AP-28
30,AP-29
31,AP-36
32,AR-01
33,AR-02
34,AR-03
35,AR-04
36,AR-05
37,AR-06
38,AR-07
39,AR-08
40,AR-09
41,AR-10
42,AR-11
43,AR-12
44,AR-13
45,AR-14
46,AR-15
47,AR-16
48,AS-01
49,AS-02
50,AS-03
51,AS-04
52,AS-05
53,AS-06
54,AS-07
55,AS-08
56,AS-09
57,AS-10
58,AS-11
59,AS-12
60,AS-13
61,AS-14
62,AS-15
63,AS-16
64,AS-17
65,AS-18
66,AS-19
67,AS-20
68,AS-21
69,AS-22
70,AS-23
71,AS-24
72,AS-25
73,AS-26
74,AS-27
75,AS-28
76,AS-29
77,AS-30 & AS-31
78,BR-01
79,BR-02
80,BR-03
81,BR-04
82,BR-05
83,BR-06
84,BR-07
85,BR-08
86,BR-09
87,BR-10
88,BR-11
89,BR-19
90,BR-21
91,BR-22
92,BR-24
93,BR-25
94,BR-26
95,BR-27
96,BR-28
97,BR-29
98,BR-30
99,BR-31
100,BR-32
101,BR-33
102,BR-34
103,BR-37
104,BR-38
105,BR-39
106,BR-43
107,BR-44
108,BR-45
109,BR-46
110,BR-50
111,BR-51
112,BR-52
113,BR-53
114,BR-55
115,BR-56
116,BR-57
117,"CG-01, CG-02 & CG-03"
118,CG-04
119,CG-05
120,CG-06
121,CG-07
122,CG-08
123,CG-09
124,CG-10
125,CG-11
126,CG-12
127,CG-13
128,CG-14
129,CG-15
130,CG-16
131,CG-17
132,CG-18
133,CG-19
134,CG-20
135,CG-21
136,CG-22
137,CG-23
138,CG-24
139,CG-26
140,CH-01
141,CH-02
142,CH-03
143,CH-04
144,DD-02
145,DD-03
146,DL-1
147,DL-2
148,DL-3
149,DL-4
150,DL-5
151,DL-6
152,DL-7
153,DL-8
154,DL-9
155,DL-10
156,DL-11
157,DL-12
158,DL-13
159,DL-14
160,DL-15
161,DL-16
162,DL-17
163,DL-18
164,DL-1A to DL-18A
165,DL-1C to DL-18C
166,DL-1D to DL-18D
167,DL-1E to DL-18E
168,DL-1F to DL-18F
169,DL-1G to DL-18G
170,DL-1K to DL-18K
171,DL-1L to DL-18L
172,DL-1N to DL-18N
173,DL-1P to DL-18P
174,DL-1Q to DL-18Q
175,DL-1R to DL-18R
176,DL-1S to DL-18S
177,DL-1T to DL-18T
178,DL-1V to DL-18V
179,DL-1W to DL-18W
180,DL-1Y to DL-18Y
181,DN-09
182,GA-03
183,GA-04
184,GA-05
185,GA-06
186,"GA-01, GA-07"
187,"GA-02, GA-08"
188,GA-09
189,GA-10
190,GA-11
191,GA-12
192,GJ-1
193,GJ-2
194,GJ-3
195,GJ-4
196,GJ-5
197,GJ-6
198,GJ-7
199,GJ-8
200,GJ-9
201,GJ-10
202,GJ-11
203,GJ-12
204,GJ-13
205,GJ-14
206,GJ-15
207,GJ-16
208,GJ-17
209,GJ-18
210,GJ-19
211,GJ-20
212,GJ-21
213,GJ-22
214,GJ-23
215,GJ-24
216,GJ-25
217,GJ-26
218,GJ-27
219,GJ-28
220,GJ-29
221,GJ-30
222,GJ-31
223,GJ-32
224,GJ-33
225,GJ-34
226,GJ-35
227,GJ-36
228,GJ-37
229,HP-01 & HP-02
230,HP-03
231,HP-04
232,HP-05
233,HP-06
234,HP-07
235,HP-08
236,HP-09
237,HP-10
238,HP-11
239,HP-12
240,HP-13
241,HP-14
242,HP-15
243,HP-16
244,HP-17
245,HP-18
246,HP-19
247,HP-20
248,HP-21
249,HP-22
250,HP-23
251,HP-24
252,HP-25
253,HP-26
254,HP-27
255,HP-28
256,HP-29
257,HP-30
258,HP-31
259,HP-32
260,HP-33
261,HP-34
262,HP-35
263,HP-36
264,HP-37
265,HP-38
266,HP-39
267,HP-40
268,HP-41
269,HP-42
270,HP-43
271,HP-44
272,HP-45
273,HP-46
274,HP-47
275,HP-48
276,HP-49
277,HP-50
278,HP-51 ∓ HP-52
279,HP-53
280,HP-54
281,HP-55
282,HP-56
283,HP-57
284,HP-58
285,HP-62
286,HP-63
287,HP-64
288,HP-65
289,HP-66
290,HP-67
291,HP-68
292,HP-69
293,HP-71
294,HP-72
295,HP-73
296,HP-74
297,HP-76
298,HR-01
299,HR-02
300,HR-03
301,HR-04
302,HR-05
303,HR-06
304,HR-07
305,HR-08
306,HR-09
307,HR-10
308,HR-11
309,HR-12
310,HR-13
311,HR-14
312,HR-15
313,HR-16
314,HR-17
315,HR-18
316,HR-19
317,HR-20
318,HR-21
319,HR-22
320,HR-23
321,HR-24
322,HR-25
323,HR-26
324,HR-27
325,HR-28
326,HR-29
327,HR-30
328,HR-31
329,HR-32
330,HR-33
331,HR-34
332,HR-35
333,HR-36
334,HR-37
335,HR-38
336,HR-39
337,HR-40
338,HR-41
339,HR-42
340,HR-43
341,HR-44
342,HR-45
343,HR-46
344,HR-47
345,HR-48
346,HR-49
347,HR-50
348,HR-51
349,HR-52
350,HR-53
351,HR-54
352,HR-55
353,HR-56
354,HR-57
355,HR-58
356,HR-59
357,HR-60
358,HR-61
359,HR-62
360,HR-63
361,HR-64
362,HR-65
363,HR-66
364,HR-67
365,HR-68
366,HR-69
367,HR-70
368,HR-71
369,HR-72
370,HR-73
371,HR-74
372,HR-75
373,HR-76
374,HR-77
375,HR-78
376,HR-79
377,HR-80
378,HR-81
379,HR-82
380,HR-83
381,HR-84
382,HR-85
383,HR-86
384,HR-87
385,HR-88
386,HR-99
387,JH-01
388,JH-02
389,JH-03
390,JH-04
391,JH-05
392,JH-06
393,JH-07
394,JH-08
395,JH-09
396,JH-10
397,JH-11
398,JH-12
399,JH-13
400,JH-14
401,JH-15
402,JH-16
403,JH-17
404,JH-18
405,JH-19
406,JH-20
407,JH-21
408,JH-22
409,JK-01
410,JK-02
411,JK-03
412,JK-04
413,JK-05
414,JK-06
415,JK-07
416,JK-08
417,JK-09
418,JK-10
419,JK-11
420,JK-12
421,JK-13
422,JK-14
423,JK-15
424,JK-16
425,JK-17
426,JK-18
427,JK-19
428,JK-20
429,JK-21
430,JK-22
431,KA-01
432,KA-02
433,KA-03
434,KA-04
435,KA-05
436,KA-06
437,KA-07
438,KA-08
439,KA-09
440,KA-10
441,KA-11
442,KA-12
443,KA-13
444,KA-14
445,KA-15
446,KA-16
447,KA-17
448,KA-18
449,KA-19
450,KA-20
451,KA-21
452,KA-22
453,KA-23
454,KA-24
455,KA-25
456,KA-26
457,KA-27
458,KA-28
459,KA-29
460,KA-30
461,KA-31
462,KA-32
463,KA-33
464,KA-34
465,KA-35
466,KA-36
467,KA-37
468,KA-38
469,KA-39
470,KA-40
471,KA-41
472,KA-42
473,KA-43
474,KA-44
475,KA-45
476,KA-46
477,KA-47
478,KA-48
479,KA-49
480,KA-50
481,KA-51
482,KA-52
483,KA-53
484,KA-54
485,KA-55
486,KA-56
487,KA-57
488,KA-58
489,KA-59
490,KA-60
491,KA-61
492,KA-62
493,KA-63
494,KA-64
495,KA-65
496,KA-66
497,KA-xx Fx-xxxx
498,KA-xx Gx-xxxx
499,KL-01
500,KL-02
501,KL-03
502,KL-04
503,KL-05
504,KL-06
505,KL-07
506,KL-08
507,KL-09
508,KL-10
509,KL-11
510,KL-12
511,KL-13
512,KL-14
513,KL-15
514,KL-16
515,KL-17
516,KL-18
517,KL-19
518,KL-20
519,KL-21
520,KL-22
521,KL-23
522,KL-24
523,KL-25
524,KL-26
525,KL-27
526,KL-28
527,KL-29
528,KL-30
529,KL-31
530,KL-32
531,KL-33
532,KL-34
533,KL-35
534,KL-36
535,KL-37
536,KL-38
537,KL-39
538,KL-40
539,KL-41
540,KL-42
541,KL-43
542,KL-44
543,KL-45
544,KL-46
545,KL-47
546,KL-48
547,KL-49
548,KL-50
549,KL-51
550,KL-52
551,KL-53
552,KL-54
553,KL-55
554,KL-56
555,KL-57
556,KL-58
557,KL-59
558,KL-60
559,KL-61
